DATE,Monthly-pre(mm),groundwater-level(mm)
2020/1/1,5.0,-36.4
2020/2/1,8.0,-42.8
2020/3/1,17.0,-105.6
2020/4/1,24.0,-156.9
2020/5/1,34.0,-146.7
2020/6/1,55.0,-139.2
2020/7/1,123.0,-82.8
2020/8/1,148.0,-23.2
2020/9/1,82.0,8.6
2020/10/1,62.0,-5.8
2020/11/1,1.0,-81.7
2020/12/1,0.0,-75.7
2021/1/1,7.0,-119.0
2021/2/1,0.0,-148.3
2021/3/1,1.0,-159.2
2021/4/1,27.0,-174.0
2021/5/1,91.0,-189.6
2021/6/1,162.0,-134.7
2021/7/1,145.0,-35.5
2021/8/1,109.0,-4.7
2021/9/1,179.0,70.6
2021/10/1,63.0,87.0
2021/11/1,0.0,23.8
2021/12/1,0.0,-12.4
2022/1/1,8.0,-54.3
2022/2/1,4.0,-46.7
2022/3/1,3.0,-107.5
2022/4/1,51.0,-137.9
2022/5/1,25.0,-170.8
2022/6/1,144.0,-205.9
2022/7/1,171.0,-115.2
2022/8/1,125.0,-55.7
2022/9/1,90.0,35.4
2022/10/1,63.0,16.0
2022/11/1,27.0,-33.3
2022/12/1,9.0,-82.4
2023/1/1,0.0,-107.1
2023/2/1,0.0,-157.5
2023/3/1,30.0,-163.3
2023/4/1,37.0,-185.2
2023/5/1,44.0,-189.6
2023/6/1,51.0,-198.4
2023/7/1,79.5,-164.0
2023/8/1,108.0,-148.8
2023/9/1,73.0,-130.9
2023/10/1,32.0,-110.0
2023/11/1,24.0,-88.2
2023/12/1,3.0,-122.6
2024/1/1,0.0,-131.8
2024/2/1,10.0,-161.6
2024/3/1,0.0,-191.0
2024/4/1,10.0,-224.2
2024/5/1,36.0,-261.0
2024/6/1,145.0,-219.6
2024/7/1,191.0,-76.5
2024/8/1,255.0,-35.1
2024/9/1,187.0,-0.5
2024/10/1,97.5,-6.2
2024/11/1,8.0,-47.6
2024/12/1,2.0,-82.1